01.1,Produção de lavouras temporárias
01.11-3,Cultivo de cereais
0111-3/01,Cultivo de arroz
0111-3/02,Cultivo de milho
0111-3/03,Cultivo de trigo
0111-3/99,Cultivo de outros cereais não especificados anteriormente
01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
0112-1/01,Cultivo de algodão herbáceo
0112-1/02,Cultivo de juta
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
01.13-0,Cultivo de cana-de-açúcar
0113-0/00,Cultivo de cana-de-açúcar
01.14-8,Cultivo de fumo
0114-8/00,Cultivo de fumo
01.15-6,Cultivo de soja
0115-6/00,Cultivo de soja
01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja"
0116-4/01,Cultivo de amendoim
0116-4/02,Cultivo de girassol
0116-4/03,Cultivo de mamona
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente
0119-9/01,Cultivo de abacaxi
0119-9/02,Cultivo de alho
0119-9/03,Cultivo de batata-inglesa
0119-9/04,Cultivo de cebola
0119-9/05,Cultivo de feijão
0119-9/06,Cultivo de mandioca
0119-9/07,Cultivo de melão
0119-9/08,Cultivo de melancia
0119-9/09,Cultivo de tomate rasteiro
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
01.2,Horticultura e floricultura
01.21-1,Horticultura
0121-1/01,"Horticultura, exceto morango"
0121-1/02,Cultivo de morango
01.22-9,Cultivo de flores e plantas ornamentais
0122-9/00,Cultivo de flores e plantas ornamentais
01.3,Produção de lavouras permanentes
01.31-8,Cultivo de laranja
0131-8/00,Cultivo de laranja
01.32-6,Cultivo de uva
0132-6/00,Cultivo de uva
01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva"
0133-4/01,Cultivo de açaí
0133-4/02,Cultivo de banana
0133-4/03,Cultivo de caju
0133-4/04,"Cultivo de cítricos, exceto laranja"
0133-4/05,Cultivo de coco-da-baía
0133-4/06,Cultivo de guaraná
0133-4/07,Cultivo de maçã
0133-4/08,Cultivo de mamão
0133-4/09,Cultivo de maracujá
0133-4/10,Cultivo de manga
0133-4/11,Cultivo de pêssego
0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente
01.34-2,Cultivo de café
0134-2/00,Cultivo de café
01.35-1,Cultivo de cacau
0135-1/00,Cultivo de cacau
01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente
0139-3/01,Cultivo de chá-da-índia
0139-3/02,Cultivo de erva-mate
0139-3/03,Cultivo de pimenta-do-reino
0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino"
0139-3/05,Cultivo de dendê
0139-3/06,Cultivo de seringueira
0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
01.4,Produção de sementes e mudas certificadas
01.41-5,Produção de sementes certificadas
0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto"
0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto
01.42-3,"Produção de mudas e outras formas de propagação vegetal, certificadas"
0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas"
01.5,Pecuária
01.51-2,Criação de bovinos
0151-2/01,Criação de bovinos para corte
0151-2/02,Criação de bovinos para leite
0151-2/03,"Criação de bovinos, exceto para corte e leite"
01.52-1,Criação de outros animais de grande porte
0152-1/01,Criação de bufalinos
0152-1/02,Criação de eqüinos
0152-1/03,Criação de asininos e muares
01.53-9,Criação de caprinos e ovinos
0153-9/01,Criação de caprinos
0153-9/02,"Criação de ovinos, inclusive para produção de lã"
01.54-7,Criação de suínos
0154-7/00,Criação de suínos
01.55-5,Criação de aves
0155-5/01,Criação de frangos para corte
0155-5/02,Produção de pintos de um dia
0155-5/03,"Criação de outros galináceos, exceto para corte"
0155-5/04,"Criação de aves, exceto galináceos"
0155-5/05,Produção de ovos
01.59-8,Criação de animais não especificados anteriormente
0159-8/01,Apicultura
0159-8/02,Criação de animais de estimação
0159-8/03,Criação de escargô
0159-8/04,Criação de bicho-da-seda
0159-8/99,Criação de outros animais não especificados anteriormente
01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita
01.61-0,Atividades de apoio à agricultura
0161-0/01,Serviço de pulverização e controle de pragas agrícolas
0161-0/02,Serviço de poda de árvores para lavouras
0161-0/03,"Serviço de preparação de terreno, cultivo e colheita"
0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente
01.62-8,Atividades de apoio à pecuária
0162-8/01,Serviço de inseminação artificial em animais
0162-8/02,Serviço de tosquiamento de ovinos
0162-8/03,Serviço de manejo de animais
0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente
01.63-6,Atividades de pós-colheita
0163-6/00,Atividades de pós-colheita
01.7,Caça e serviços relacionados
01.70-9,Caça e serviços relacionados
0170-9/00,Caça e serviços relacionados
02.1,Produção florestal - florestas plantadas
02.10-1,Produção florestal - florestas plantadas
0210-1/01,Cultivo de eucalipto
0210-1/02,Cultivo de acácia-negra
0210-1/03,Cultivo de pinus
0210-1/04,Cultivo de teca
0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca"
0210-1/06,Cultivo de mudas em viveiros florestais
0210-1/07,Extração de madeira em florestas plantadas
0210-1/08,Produção de carvão vegetal - florestas plantadas
0210-1/09,Produção de casca de acácia-negra - florestas plantadas
0210-1/99,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas
02.2,Produção florestal - florestas nativas
02.20-9,Produção florestal - florestas nativas
0220-9/01,Extração de madeira em florestas nativas
0220-9/02,Produção de carvão vegetal - florestas nativas
0220-9/03,Coleta de castanha-do-pará em florestas nativas
0220-9/04,Coleta de látex em florestas nativas
0220-9/05,Coleta de palmito em florestas nativas
0220-9/06,Conservação de florestas nativas
0220-9/99,Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas
02.3,Atividades de apoio à produção florestal
02.30-6,Atividades de apoio à produção florestal
0230-6/00,Atividades de apoio à produção florestal
03.1,Pesca
03.11-6,Pesca em água salgada
0311-6/01,Pesca de peixes em água salgada
0311-6/02,Pesca de crustáceos e moluscos em água salgada
0311-6/03,Coleta de outros produtos marinhos
0311-6/04,Atividades de apoio à pesca em água salgada
03.12-4,Pesca em água doce
0312-4/01,Pesca de peixes em água doce
0312-4/02,Pesca de crustáceos e moluscos em água doce
0312-4/03,Coleta de outros produtos aquáticos de água doce
0312-4/04,Atividades de apoio à pesca em água doce
03.2,Aqüicultura
03.21-3,Aqüicultura em água salgada e salobra
0321-3/01,Criação de peixes em água salgada e salobra
0321-3/02,Criação de camarões em água salgada e salobra
0321-3/03,Criação de ostras e mexilhões em água salgada e salobra
0321-3/04,Criação de peixes ornamentais em água salgada e salobra
0321-3/05,Atividades de apoio à aqüicultura em água salgada e salobra
0321-3/99,Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente
03.22-1,Aqüicultura em água doce
0322-1/01,Criação de peixes em água doce
0322-1/02,Criação de camarões em água doce
0322-1/03,Criação de ostras e mexilhões em água doce
0322-1/04,Criação de peixes ornamentais em água doce
0322-1/05,Ranicultura
0322-1/06,Criação de jacaré
0322-1/07,Atividades de apoio à aqüicultura em água doce
0322-1/99,Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente
05.0,Extração de carvão mineral
05.00-3,Extração de carvão mineral
0500-3/01,Extração de carvão mineral
0500-3/02,Beneficiamento de carvão mineral
06.0,Extração de petróleo e gás natural
06.00-0,Extração de petróleo e gás natural
0600-0/01,Extração de petróleo e gás natural
0600-0/02,Extração e beneficiamento de xisto
0600-0/03,Extração e beneficiamento de areias betuminosas
07.1,Extração de minério de ferro
07.10-3,Extração de minério de ferro
0710-3/01,Extração de minério de ferro
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro"
07.2,Extração de minerais metálicos não-ferrosos
07.21-9,Extração de minério de alumínio
0721-9/01,Extração de minério de alumínio
0721-9/02,Beneficiamento de minério de alumínio
07.22-7,Extração de minério de estanho
0722-7/01,Extração de minério de estanho
0722-7/02,Beneficiamento de minério de estanho
07.23-5,Extração de minério de manganês
0723-5/01,Extração de minério de manganês
0723-5/02,Beneficiamento de minério de manganês
07.24-3,Extração de minério de metais preciosos
0724-3/01,Extração de minério de metais preciosos
0724-3/02,Beneficiamento de minério de metais preciosos
07.25-1,Extração de minerais radioativos
0725-1/00,Extração de minerais radioativos
07.29-4,Extração de minerais metálicos não-ferrosos não especificados anteriormente
0729-4/01,Extração de minérios de nióbio e titânio
0729-4/02,Extração de minério de tungstênio
0729-4/03,Extração de minério de níquel
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
08.1,"Extração de pedra, areia e argila"
08.10-0,"Extração de pedra, areia e argila"
0810-0/01,Extração de ardósia e beneficiamento associado
0810-0/02,Extração de granito e beneficiamento associado
0810-0/03,Extração de mármore e beneficiamento associado
0810-0/04,Extração de calcário e dolomita e beneficiamento associado
0810-0/05,Extração de gesso e caulim
0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado"
0810-0/07,Extração de argila e beneficiamento associado
0810-0/08,Extração de saibro e beneficiamento associado
0810-0/09,Extração de basalto e beneficiamento associado
0810-0/10,Beneficiamento de gesso e caulim associado à extração
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado
08.9,Extração de outros minerais não-metálicos
08.91-6,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
08.92-4,Extração e refino de sal marinho e sal-gema
0892-4/01,Extração de sal marinho
0892-4/02,Extração de sal-gema
0892-4/03,Refino e outros tratamentos do sal
08.93-2,Extração de gemas (pedras preciosas e semipreciosas)
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas)
08.99-1,Extração de minerais não-metálicos não especificados anteriormente
0899-1/01,Extração de grafita
0899-1/02,Extração de quartzo
0899-1/03,Extração de amianto
0899-1/99,Extração de outros minerais não-metálicos não especificados anteriormente
09.1,Atividades de apoio à extração de petróleo e gás natural
09.10-6,Atividades de apoio à extração de petróleo e gás natural
0910-6/00,Atividades de apoio à extração de petróleo e gás natural
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
09.90-4,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
0990-4/01,Atividades de apoio à extração de minério de ferro
0990-4/02,Atividades de apoio à extração de minerais metálicos não-ferrosos
0990-4/03,Atividades de apoio à extração de minerais não-metálicos
10.1,Abate e fabricação de produtos de carne
10.11-2,"Abate de reses, exceto suínos"
1011-2/01,Frigorífico - abate de bovinos
1011-2/02,Frigorífico - abate de eqüinos
1011-2/03,Frigorífico - abate de ovinos e caprinos
1011-2/04,Frigorífico - abate de bufalinos
1011-2/05,"Matadouro - abate de reses sob contrato, exceto abate de suínos"
10.12-1,"Abate de suínos, aves e outros pequenos animais"
1012-1/01,Abate de aves
1012-1/02,Abate de pequenos animais
1012-1/03,Frigorífico - abate de suínos
1012-1/04,Matadouro - abate de suínos sob contrato
10.13-9,Fabricação de produtos de carne
1013-9/01,Fabricação de produtos de carne
1013-9/02,Preparação de subprodutos do abate
10.2,Preservação do pescado e fabricação de produtos do pescado
10.20-1,Preservação do pescado e fabricação de produtos do pescado
1020-1/01,"Preservação de peixes, crustáceos e moluscos"
1020-1/02,"Fabricação de conservas de peixes, crustáceos e moluscos"
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais"
10.31-7,Fabricação de conservas de frutas
1031-7/00,Fabricação de conservas de frutas
10.32-5,Fabricação de conservas de legumes e outros vegetais
1032-5/01,Fabricação de conservas de palmito
1032-5/99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito"
10.33-3,"Fabricação de sucos de frutas, hortaliças e legumes"
1033-3/01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes"
1033-3/02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados"
10.4,Fabricação de óleos e gorduras vegetais e animais
10.41-4,"Fabricação de óleos vegetais em bruto, exceto óleo de milho"
1041-4/00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho"
10.42-2,"Fabricação de óleos vegetais refinados, exceto óleo de milho"
1042-2/00,"Fabricação de óleos vegetais refinados, exceto óleo de milho"
10.43-1,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
1043-1/00,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
10.5,Laticínios
10.51-1,Preparação do leite
1051-1/00,Preparação do leite
10.52-0,Fabricação de laticínios
1052-0/00,Fabricação de laticínios
10.53-8,Fabricação de sorvetes e outros gelados comestíveis
1053-8/00,Fabricação de sorvetes e outros gelados comestíveis
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
10.61-9,Beneficiamento de arroz e fabricação de produtos do arroz
1061-9/01,Beneficiamento de arroz
1061-9/02,Fabricação de produtos do arroz
10.62-7,Moagem de trigo e fabricação de derivados
1062-7/00,Moagem de trigo e fabricação de derivados
10.63-5,Fabricação de farinha de mandioca e derivados
1063-5/00,Fabricação de farinha de mandioca e derivados
10.64-3,"Fabricação de farinha de milho e derivados, exceto óleos de milho"
1064-3/00,"Fabricação de farinha de milho e derivados, exceto óleos de milho"
10.65-1,Fabricação de amidos e féculas de vegetais e de óleos de milho
1065-1/01,Fabricação de amidos e féculas de vegetais
1065-1/02,Fabricação de óleo de milho em bruto
1065-1/03,Fabricação de óleo de milho refinado
10.66-0,Fabricação de alimentos para animais
1066-0/00,Fabricação de alimentos para animais
10.69-4,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
1069-4/00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
10.7,Fabricação e refino de açúcar
10.71-6,Fabricação de açúcar em bruto
1071-6/00,Fabricação de açúcar em bruto
10.72-4,Fabricação de açúcar refinado
1072-4/01,Fabricação de açúcar de cana refinado
1072-4/02,Fabricação de açúcar de cereais (dextrose) e de beterraba
10.8,Torrefação e moagem de café
10.81-3,Torrefação e moagem de café
1081-3/01,Beneficiamento de café
1081-3/02,Torrefação e moagem de café
10.82-1,Fabricação de produtos à base de café
1082-1/00,Fabricação de produtos à base de café
10.9,Fabricação de outros produtos alimentícios
10.91-1,Fabricação de produtos de panificação
1091-1/01,Fabricação de produtos de panificação industrial
1091-1/02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria
10.92-9,Fabricação de biscoitos e bolachas
1092-9/00,Fabricação de biscoitos e bolachas
10.93-7,"Fabricação de produtos derivados do cacau, de chocolates e confeitos"
1093-7/01,Fabricação de produtos derivados do cacau e de chocolates
1093-7/02,"Fabricação de frutas cristalizadas, balas e semelhantes"
10.94-5,Fabricação de massas alimentícias
1094-5/00,Fabricação de massas alimentícias
10.95-3,"Fabricação de especiarias, molhos, temperos e condimentos"
1095-3/00,"Fabricação de especiarias, molhos, temperos e condimentos"
10.96-1,Fabricação de alimentos e pratos prontos
1096-1/00,Fabricação de alimentos e pratos prontos
10.99-6,Fabricação de produtos alimentícios não especificados anteriormente
1099-6/01,Fabricação de vinagres
1099-6/02,Fabricação de pós alimentícios
1099-6/03,Fabricação de fermentos e leveduras
1099-6/04,Fabricação de gelo comum
1099-6/05,"Fabricação de produtos para infusão (chá, mate, etc.)"
1099-6/06,Fabricação de adoçantes naturais e artificiais
1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares
1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente
11.1,Fabricação de bebidas alcoólicas
11.11-9,Fabricação de aguardentes e outras bebidas destiladas
1111-9/01,Fabricação de aguardente de cana-de-açúcar
1111-9/02,Fabricação de outras aguardentes e bebidas destiladas
11.12-7,Fabricação de vinho
1112-7/00,Fabricação de vinho
11.13-5,"Fabricação de malte, cervejas e chopes"
1113-5/01,"Fabricação de malte, inclusive malte uísque"
1113-5/02,Fabricação de cervejas e chopes
11.2,Fabricação de bebidas não-alcoólicas
11.21-6,Fabricação de águas envasadas
1121-6/00,Fabricação de águas envasadas
11.22-4,Fabricação de refrigerantes e de outras bebidas não-alcoólicas
1122-4/01,Fabricação de refrigerantes
1122-4/02,Fabricação de chá mate e outros chás prontos para consumo
1122-4/03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"
1122-4/04,Fabricação de bebidas isotônicas
1122-4/99,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente
12.1,Processamento industrial do fumo
12.10-7,Processamento industrial do fumo
1210-7/00,Processamento industrial do fumo
12.2,Fabricação de produtos do fumo
12.20-4,Fabricação de produtos do fumo
1220-4/01,Fabricação de cigarros
1220-4/02,Fabricação de cigarrilhas e charutos
1220-4/03,Fabricação de filtros para cigarros
1220-4/99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos"
13.1,Preparação e fiação de fibras têxteis
13.11-1,Preparação e fiação de fibras de algodão
1311-1/00,Preparação e fiação de fibras de algodão
13.12-0,"Preparação e fiação de fibras têxteis naturais, exceto algodão"
1312-0/00,"Preparação e fiação de fibras têxteis naturais, exceto algodão"
13.13-8,Fiação de fibras artificiais e sintéticas
1313-8/00,Fiação de fibras artificiais e sintéticas
13.14-6,Fabricação de linhas para costurar e bordar
1314-6/00,Fabricação de linhas para costurar e bordar
13.2,"Tecelagem, exceto malha"
13.21-9,Tecelagem de fios de algodão
1321-9/00,Tecelagem de fios de algodão
13.22-7,"Tecelagem de fios de fibras têxteis naturais, exceto algodão"
1322-7/00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão"
13.23-5,Tecelagem de fios de fibras artificiais e sintéticas
1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas
13.3,Fabricação de tecidos de malha
13.30-8,Fabricação de tecidos de malha
1330-8/00,Fabricação de tecidos de malha
13.4,"Acabamentos em fios, tecidos e artefatos têxteis"
13.40-5,"Acabamentos em fios, tecidos e artefatos têxteis"
1340-5/01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário"
1340-5/02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário"
1340-5/99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário"
13.5,"Fabricação de artefatos têxteis, exceto vestuário"
13.51-1,Fabricação de artefatos têxteis para uso doméstico
1351-1/00,Fabricação de artefatos têxteis para uso doméstico
13.52-9,Fabricação de artefatos de tapeçaria
1352-9/00,Fabricação de artefatos de tapeçaria
13.53-7,Fabricação de artefatos de cordoaria
1353-7/00,Fabricação de artefatos de cordoaria
13.54-5,"Fabricação de tecidos especiais, inclusive artefatos"
1354-5/00,"Fabricação de tecidos especiais, inclusive artefatos"
13.59-6,Fabricação de outros produtos têxteis não especificados anteriormente
1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente
14.1,Confecção de artigos do vestuário e acessórios
14.11-8,Confecção de roupas íntimas
1411-8/01,Confecção de roupas íntimas
1411-8/02,Facção de roupas íntimas
14.12-6,"Confecção de peças do vestuário, exceto roupas íntimas"
1412-6/01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida"
1412-6/02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas"
1412-6/03,"Facção de peças do vestuário, exceto roupas íntimas"
14.13-4,Confecção de roupas profissionais
1413-4/01,"Confecção de roupas profissionais, exceto sob medida"
1413-4/02,"Confecção, sob medida, de roupas profissionais"
1413-4/03,Facção de roupas profissionais
14.14-2,"Fabricação de acessórios do vestuário, exceto para segurança e proteção"
1414-2/00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção"
14.2,Fabricação de artigos de malharia e tricotagem
14.21-5,Fabricação de meias
1421-5/00,Fabricação de meias
14.22-3,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias"
1422-3/00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias"
15.1,Curtimento e outras preparações de couro
15.10-6,Curtimento e outras preparações de couro
1510-6/00,Curtimento e outras preparações de couro
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro
15.21-1,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material"
1521-1/00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material"
15.29-7,Fabricação de artefatos de couro não especificados anteriormente
1529-7/00,Fabricação de artefatos de couro não especificados anteriormente
15.3,Fabricação de calçados
15.31-9,Fabricação de calçados de couro
1531-9/01,Fabricação de calçados de couro
1531-9/02,Acabamento de calçados de couro sob contrato
15.32-7,Fabricação de tênis de qualquer material
1532-7/00,Fabricação de tênis de qualquer material
15.33-5,Fabricação de calçados de material sintético
1533-5/00,Fabricação de calçados de material sintético
15.39-4,Fabricação de calçados de materiais não especificados anteriormente
1539-4/00,Fabricação de calçados de materiais não especificados anteriormente
15.4,"Fabricação de partes para calçados, de qualquer material"
15.40-8,"Fabricação de partes para calçados, de qualquer material"
1540-8/00,"Fabricação de partes para calçados, de qualquer material"
16.1,Desdobramento de madeira
16.10-2,Desdobramento de madeira
1610-2/01,Serrarias com desdobramento de madeira
1610-2/02,Serrarias sem desdobramento de madeira
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
16.21-8,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"
1621-8/00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"
16.22-6,Fabricação de estruturas de madeira e de artigos de carpintaria para construção
1622-6/01,Fabricação de casas de madeira pré-fabricadas
1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais
1622-6/99,Fabricação de outros artigos de carpintaria para construção
16.23-4,Fabricação de artefatos de tanoaria e de embalagens de madeira
1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira
16.29-3,"Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis"
1629-3/01,"Fabricação de artefatos diversos de madeira, exceto móveis"
1629-3/02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis"
17.1,Fabricação de celulose e outras pastas para a fabricação de papel
17.10-9,Fabricação de celulose e outras pastas para a fabricação de papel
1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel
17.2,"Fabricação de papel, cartolina e papel-cartão"
17.21-4,Fabricação de papel
1721-4/00,Fabricação de papel
17.22-2,Fabricação de cartolina e papel-cartão
1722-2/00,Fabricação de cartolina e papel-cartão
17.3,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
17.31-1,Fabricação de embalagens de papel
1731-1/00,Fabricação de embalagens de papel
17.32-0,Fabricação de embalagens de cartolina e papel-cartão
1732-0/00,Fabricação de embalagens de cartolina e papel-cartão
17.33-8,Fabricação de chapas e de embalagens de papelão ondulado
1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
17.41-9,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório"
1741-9/01,Fabricação de formulários contínuos
1741-9/02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório"
17.42-7,Fabricação de produtos de papel para usos doméstico e higiênico-sanitário
1742-7/01,Fabricação de fraldas descartáveis
1742-7/02,Fabricação de absorventes higiênicos
1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente
17.49-4,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente"
1749-4/00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente"
18.1,Atividade de impressão
18.11-3,"Impressão de jornais, livros, revistas e outras publicações periódicas"
1811-3/01,Impressão de jornais
1811-3/02,"Impressão de livros, revistas e outras publicações periódicas"
